iter	Passed	Remaining
0	57	11480
1	58	5781
2	58	3865
3	59	2906
4	59	2330
5	60	1948
6	60	1673
7	61	1467
8	61	1307
9	62	1178
10	62	1073
11	62	985
12	63	911
13	63	847
14	64	792
15	64	743
16	65	700
17	65	662
18	66	629
19	66	598
20	66	570
21	67	545
22	67	522
23	68	500
24	68	480
25	69	462
26	69	445
27	69	429
28	70	414
29	70	402
30	71	389
31	71	377
32	72	365
33	72	355
34	73	345
35	73	335
36	74	326
37	74	317
38	75	309
39	75	301
40	75	294
41	76	286
42	76	279
43	77	273
44	77	266
45	77	260
46	78	254
47	78	249
48	79	243
49	79	238
50	79	233
51	80	228
52	80	224
53	81	219
54	81	215
55	82	211
56	82	207
57	82	203
58	83	199
59	83	195
60	84	192
61	84	188
62	85	185
63	85	181
64	86	178
65	86	175
66	86	172
67	87	169
68	87	166
69	88	163
70	88	161
71	89	158
72	89	155
73	89	153
74	90	150
75	90	148
76	91	145
77	91	143
78	92	140
79	92	138
80	92	136
81	93	134
82	93	132
83	94	130
84	94	127
85	95	125
86	95	123
87	95	121
88	96	120
89	96	118
90	97	116
91	97	114
92	97	112
93	98	110
94	98	109
95	99	107
96	99	105
97	100	104
98	100	102
99	101	101
100	101	99
101	101	97
102	102	96
103	102	94
104	103	93
105	103	91
106	103	90
107	104	88
108	104	87
109	105	86
110	105	84
111	106	83
112	106	82
113	106	80
114	107	79
115	107	78
116	108	76
117	108	75
118	109	74
119	109	72
120	109	71
121	110	70
122	110	69
123	111	68
124	111	66
125	112	65
126	112	64
127	112	63
128	113	62
129	113	61
130	114	60
131	114	59
132	115	58
133	115	56
134	115	55
135	116	54
136	116	53
137	117	52
138	117	51
139	118	50
140	118	49
141	118	48
142	119	47
143	119	46
144	120	45
145	120	44
146	120	43
147	121	42
148	121	41
149	122	40
150	122	39
151	123	38
152	123	38
153	124	37
154	124	36
155	124	35
156	125	34
157	125	33
158	126	32
159	126	31
160	127	30
161	127	29
162	127	29
163	128	28
164	128	27
165	129	26
166	129	25
167	130	24
168	130	23
169	130	23
170	131	22
171	131	21
172	132	20
173	132	19
174	133	19
175	133	18
176	133	17
177	134	16
178	134	15
179	135	15
180	135	14
181	135	13
182	136	12
183	136	11
184	137	11
185	137	10
186	137	9
187	138	8
188	138	8
189	139	7
190	139	6
191	139	5
192	140	5
193	140	4
194	141	3
195	142	2
196	142	2
197	142	1
198	143	0
199	143	0
